,POS,Definition,Examples
0,LS,list item marker,A A. B B. C C. D E F First G H I J K One SP-44001 SP-44002 SP-44005 SP-44007 Second Third Three Two * a b c d first five four one six three two 
1,TO,"""to"" as preposition or infinitive marker",to 
2,VBN,"verb, past participle",multihulled dilapidated aerosolized chaired languished panelized used experimented flourished imitated reunifed factored condensed sheared unsettled primed dubbed desired ... 
3,'',closing quotation mark,' '' 
4,WP,WH-pronoun,that what whatever whatsoever which who whom whosoever 
5,UH,interjection,Goodbye Goody Gosh Wow Jeepers Jee-sus Hubba Hey Kee-reist Oops amen huh howdy uh dammit whammo shucks heck anyways whodunnit honey golly man baby diddle hush sonuvabitch ... 
6,VBG,"verb, present participle or gerund",telegraphing stirring focusing angering judging stalling lactating hankerin' alleging veering capping approaching traveling besieging encrypting interrupting erasing wincing ... 
7,JJ,"adjective or numeral, ordinal",third ill-mannered pre-war regrettable oiled calamitous first separable ectoplasmic battery-powered participatory fourth still-to-be-named multilingual multi-disciplinary ... 
8,VBZ,"verb, present tense, 3rd person singular",bases reconstructs marks mixes displeases seals carps weaves snatches slumps stretches authorizes smolders pictures emerges stockpiles seduces fizzes uses bolsters slaps speaks pleads ... 
9,--,dash,-- 
10,VBP,"verb, present tense, not 3rd person singular",predominate wrap resort sue twist spill cure lengthen brush terminate appear tend stray glisten obtain comprise detest tease attract emphasize mold postpone sever return wag ... 
11,NN,"noun, common, singular or mass",common-carrier cabbage knuckle-duster Casino afghan shed thermostat investment slide humour falloff slick wind hyena override subhumanity machinist ... 
12,DT,determiner,all an another any both del each either every half la many much nary neither no some such that the them these this those 
13,PRP,"pronoun, personal",hers herself him himself hisself it itself me myself one oneself ours ourselves ownself self she thee theirs them themselves they thou thy us 
14,:,colon or ellipsis,: ; ... 
15,WP$,"WH-pronoun, possessive",whose 
16,NNPS,"noun, proper, plural",Americans Americas Amharas Amityvilles Amusements Anarcho-Syndicalists Andalusians Andes Andruses Angels Animals Anthony Antilles Antiques Apache Apaches Apocrypha ... 
17,PRP$,"pronoun, possessive",her his mine my our ours their thy your 
18,WDT,WH-determiner,that what whatever which whichever 
19,(,opening parenthesis,( [ { 
20,),closing parenthesis,) ] } 
21,.,sentence terminator,. ! ? 
22,",",comma,", "
23,``,opening quotation mark,` `` 
24,$,dollar,$ -$ --$ A$ C$ HK$ M$ NZ$ S$ U.S.$ US$ 
25,RB,adverb,occasionally unabatingly maddeningly adventurously professedly stirringly prominently technologically magisterially predominately swiftly fiscally pitilessly ... 
26,RBR,"adverb, comparative",further gloomier grander graver greater grimmer harder harsher healthier heavier higher however larger later leaner lengthier less-perfectly lesser lonelier longer louder lower more ... 
27,RBS,"adverb, superlative",best biggest bluntest earliest farthest first furthest hardest heartiest highest largest least less most nearest second tightest worst 
28,VBD,"verb, past tense",dipped pleaded swiped regummed soaked tidied convened halted registered cushioned exacted snubbed strode aimed adopted belied figgered speculated wore appreciated contemplated ... 
29,IN,"preposition or conjunction, subordinating",astride among uppon whether out inside pro despite on by throughout below within for towards near behind atop around if like until below next into if beside ... 
30,FW,foreign word,gemeinschaft hund ich jeux habeas Haementeria Herr K'ang-si vous lutihaw alai je jour objets salutaris fille quibusdam pas trop Monte terram fiche oui corporis ... 
31,RP,particle,aboard about across along apart around aside at away back before behind by crop down ever fast for forth from go high i.e. in into just later low more off on open out over per pie raising start teeth that through under unto up up-pp upon whole with you 
32,JJR,"adjective, comparative",bleaker braver breezier briefer brighter brisker broader bumper busier calmer cheaper choosier cleaner clearer closer colder commoner costlier cozier creamier crunchier cuter ... 
33,JJS,"adjective, superlative",calmest cheapest choicest classiest cleanest clearest closest commonest corniest costliest crassest creepiest crudest cutest darkest deadliest dearest deepest densest dinkiest ... 
34,PDT,pre-determiner,all both half many quite such sure this 
35,MD,modal auxiliary,can cannot could couldn't dare may might must need ought shall should shouldn't will would 
36,VB,"verb, base form",ask assemble assess assign assume atone attention avoid bake balkanize bank begin behold believe bend benefit bevel beware bless boil bomb boost brace break bring broil brush build ... 
37,WRB,Wh-adverb,how however whence whenever where whereby whereever wherein whereof why 
38,NNP,"noun, proper, singular",Motown Venneboerger Czestochwa Ranzer Conchita Trumplane Christos Oceanside Escobar Kreisler Sawyer Cougar Yvette Ervin ODI Darryl CTCA Shannon A.K.C. Meltex Liverpool ... 
39,EX,existential there,there 
40,NNS,"noun, common, plural",undergraduates scotches bric-a-brac products bodyguards facets coasts divestitures storehouses designs clubs fragrances averages subjectivists apprehensions muses factory-jobs ... 
41,SYM,symbol,"% & ' '' ''. ) ). * + ,. < = > @ A[fj] U.S U.S.S.R * ** *** "
42,CC,"conjunction, coordinating",& 'n and both but either et for less minus neither nor or plus so therefore times v. versus vs. whether yet 
43,CD,"numeral, cardinal","mid-1890 nine-thirty forty-two one-tenth ten million 0.5 one forty-seven 1987 twenty '79 zero two 78-degrees eighty-four IX '60s .025 fifteen 271,124 dozen quintillion DM2,000 ... "
44,POS,genitive marker,' 's 
